type,id,count,exposure_rate
item,I0441,0,0.0
item,I0442,0,0.0
item,I0443,0,0.0
item,I0444,0,0.0
item,I0445,0,0.0
item,I0446,0,0.0
item,I0447,0,0.0
item,I0448,0,0.0
item,I0449,0,0.0
item,I0450,0,0.0
item,I0451,0,0.0
item,I0452,0,0.0
item,I0453,0,0.0
item,I0454,0,0.0
item,I0455,0,0.0
item,I0456,0,0.0
item,I0457,317,0.09
item,I0458,317,0.09
item,I0459,228,0.06
item,I0460,317,0.09
item,I0461,317,0.09
item,I0462,317,0.09
item,I0463,23,0.01
item,I0464,300,0.08
item,I0465,33,0.01
item,I0466,317,0.09
item,I0467,1,0.0
item,I0468,316,0.09
item,I0469,359,0.1
item,I0470,357,0.1
item,I0471,358,0.1
item,I0472,354,0.1
item,I0473,352,0.1
item,I0474,350,0.1
item,I0475,340,0.09
item,I0476,11,0.0
item,I0477,28,0.01
item,I0478,338,0.09
item,I0479,340,0.09
item,I0480,27,0.01
item,I0481,0,0.0
item,I0482,0,0.0
item,I0483,0,0.0
item,I0484,0,0.0
item,I0485,0,0.0
item,I0486,0,0.0
item,I0487,0,0.0
item,I0488,0,0.0
item,I0489,0,0.0
item,I0490,0,0.0
item,I0491,0,0.0
item,I0492,0,0.0
item,I0493,23,0.01
item,I0494,7,0.0
item,I0495,0,0.0
item,I0496,5,0.0
item,I0497,0,0.0
item,I0498,23,0.01
item,I0499,20,0.01
item,I0500,18,0.01
item,I0501,0,0.0
item,I0502,0,0.0
item,I0503,23,0.01
item,I0504,0,0.0
item,I0505,225,0.06
item,I0506,361,0.1
item,I0507,169,0.05
item,I0508,12,0.0
item,I0509,269,0.07
item,I0510,185,0.05
item,I0511,166,0.05
item,I0512,88,0.02
item,I0513,95,0.03
item,I0514,157,0.04
item,I0515,163,0.05
item,I0516,115,0.03
item,I0517,0,0.0
item,I0518,0,0.0
item,I0519,0,0.0
item,I0520,0,0.0
item,I0521,0,0.0
item,I0522,0,0.0
item,I0523,0,0.0
item,I0524,0,0.0
item,I0525,0,0.0
item,I0526,0,0.0
item,I0527,0,0.0
item,I0528,0,0.0
item,I0529,0,0.0
item,I0530,0,0.0
item,I0531,0,0.0
item,I0532,0,0.0
item,I0533,0,0.0
item,I0534,0,0.0
item,I0535,0,0.0
item,I0536,0,0.0
item,I0537,0,0.0
item,I0538,0,0.0
item,I0539,0,0.0
item,I0540,0,0.0
item,I0541,193,0.05
item,I0542,361,0.1
item,I0543,172,0.05
item,I0544,196,0.05
item,I0545,187,0.05
item,I0546,94,0.03
item,I0547,195,0.05
item,I0548,227,0.06
item,I0549,118,0.03
item,I0550,127,0.04
item,I0551,98,0.03
item,I0552,182,0.05
item,I0553,0,0.0
item,I0554,289,0.08
item,I0555,287,0.08
item,I0556,286,0.08
item,I0557,2,0.0
item,I0558,289,0.08
item,I0559,289,0.08
item,I0560,288,0.08
item,I0561,35,0.01
item,I0562,289,0.08
item,I0563,288,0.08
item,I0564,0,0.0
item,I0565,0,0.0
item,I0566,0,0.0
item,I0567,0,0.0
item,I0568,0,0.0
item,I0569,0,0.0
item,I0570,0,0.0
item,I0571,0,0.0
item,I0572,0,0.0
item,I0573,0,0.0
item,I0574,0,0.0
item,I0575,0,0.0
item,I0576,0,0.0
item,I0577,0,0.0
item,I0578,0,0.0
item,I0579,0,0.0
item,I0580,0,0.0
item,I0581,0,0.0
item,I0582,0,0.0
item,I0583,0,0.0
item,I0584,0,0.0
item,I0585,0,0.0
item,I0586,0,0.0
item,I0587,0,0.0
item,I0588,0,0.0
item,I0589,0,0.0
item,I0590,0,0.0
item,I0591,0,0.0
item,I0592,0,0.0
item,I0593,0,0.0
item,I0594,0,0.0
item,I0595,0,0.0
item,I0596,0,0.0
item,I0597,0,0.0
item,I0598,0,0.0
item,I0599,0,0.0
item,I0600,0,0.0
item,I0601,244,0.07
item,I0602,225,0.06
item,I0603,244,0.07
item,I0604,244,0.07
item,I0605,244,0.07
item,I0606,3,0.0
item,I0607,91,0.03
item,I0608,242,0.07
item,I0609,244,0.07
item,I0610,166,0.05
item,I0611,238,0.07
item,I0612,82,0.02
item,I0613,361,0.1
item,I0614,252,0.07
item,I0615,239,0.07
item,I0616,41,0.01
item,I0617,203,0.06
item,I0618,171,0.05
item,I0619,72,0.02
item,I0620,128,0.04
item,I0621,167,0.05
item,I0622,114,0.03
item,I0623,123,0.03
item,I0624,162,0.05
item,I0625,0,0.0
item,I0626,0,0.0
item,I0627,0,0.0
item,I0628,0,0.0
item,I0629,0,0.0
item,I0630,0,0.0
item,I0631,0,0.0
item,I0632,0,0.0
item,I0633,0,0.0
item,I0634,0,0.0
item,I0635,0,0.0
item,I0636,0,0.0
item,I0637,357,0.1
item,I0638,358,0.1
item,I0639,357,0.1
item,I0640,11,0.0
item,I0641,284,0.08
item,I0642,350,0.1
item,I0643,336,0.09
item,I0644,330,0.09
item,I0645,301,0.08
item,I0646,46,0.01
item,I0647,177,0.05
item,I0648,324,0.09
item,I0649,40,0.01
item,I0650,17,0.0
item,I0651,139,0.04
item,I0652,5,0.0
item,I0653,139,0.04
item,I0654,4,0.0
item,I0655,119,0.03
item,I0656,101,0.03
item,I0657,22,0.01
item,I0658,115,0.03
item,I0659,0,0.0
item,I0660,72,0.02
item,I0661,357,0.1
item,I0662,0,0.0
item,I0663,55,0.02
item,I0664,122,0.03
item,I0665,97,0.03
item,I0666,317,0.09
item,I0667,303,0.08
item,I0668,267,0.07
item,I0669,190,0.05
item,I0670,329,0.09
item,I0671,226,0.06
item,I0672,27,0.01
item,I0673,311,0.09
item,I0674,311,0.09
item,I0675,293,0.08
item,I0676,289,0.08
item,I0677,311,0.09
item,I0678,154,0.04
item,I0679,311,0.09
item,I0680,185,0.05
item,I0681,311,0.09
item,I0682,141,0.04
item,I0683,157,0.04
item,I0684,309,0.09
item,I0685,244,0.07
item,I0686,244,0.07
item,I0687,0,0.0
item,I0688,244,0.07
item,I0689,0,0.0
item,I0690,244,0.07
item,I0691,244,0.07
item,I0692,110,0.03
item,I0693,244,0.07
item,I0694,244,0.07
item,I0695,0,0.0
item,I0696,243,0.07
item,I0697,353,0.1
item,I0698,280,0.08
item,I0699,308,0.09
item,I0700,51,0.01
item,I0701,114,0.03
item,I0702,77,0.02
item,I0703,9,0.0
item,I0704,345,0.1
item,I0705,48,0.01
