section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,C06_S056,STM_ITM,S056,NUMBER,1.0,3.0,,357,1.0,1.0,3.0,2.756,0.529,0,17,53,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S059,STM_ITM,S059,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.51,0.81,0,250,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S064,STM_ITM,S064,NUMBER,1.0,3.0,,327,1.0,1.0,3.0,1.758,0.606,0,109,188,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S066,STM_ITM,S066,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.784,0.744,0,147,145,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S067,STM_ITM,S067,NUMBER,1.0,3.0,,117,1.0,1.0,3.0,2.615,0.693,0,14,17,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S068,STM_ITM,S068,NUMBER,1.0,3.0,,52,1.0,1.0,3.0,2.827,0.474,0,2,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S072,STM_ITM,S072,NUMBER,1.0,3.0,,341,1.0,1.0,3.0,1.935,0.258,0,23,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S073,STM_ITM,S073,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,2.719,0.491,0,7,87,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S076,STM_ITM,S076,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.772,0.771,0,157,128,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S077,STM_ITM,S077,NUMBER,1.0,3.0,,3,1.0,1.0,2.0,1.667,0.577,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S078,STM_ITM,S078,NUMBER,1.0,3.0,,21,1.0,1.0,2.0,1.238,0.436,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S079,STM_ITM,S079,NUMBER,1.0,3.0,,38,1.0,2.0,3.0,2.789,0.413,0,0,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S080,STM_ITM,S080,NUMBER,1.0,3.0,,353,1.0,1.0,3.0,1.654,0.652,0,157,161,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S001,STM_ITM,S001,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.202,0.489,0,302,45,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S002,STM_ITM,S002,NUMBER,1.0,3.0,,22,1.0,1.0,2.0,1.182,0.395,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S004,STM_ITM,S004,NUMBER,1.0,3.0,,361,1.0,1.0,2.0,1.493,0.501,0,183,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S013,STM_ITM,S013,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.436,0.612,0,226,111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S017,STM_ITM,S017,NUMBER,1.0,3.0,,359,1.0,1.0,2.0,1.042,0.2,0,344,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S018,STM_ITM,S018,NUMBER,1.0,3.0,,263,1.0,1.0,3.0,1.418,0.688,0,183,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S020,STM_ITM,S020,NUMBER,1.0,3.0,,53,1.0,1.0,3.0,2.83,0.427,0,1,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S021,STM_ITM,S021,NUMBER,1.0,3.0,,121,1.0,1.0,2.0,1.57,0.497,0,52,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S024,STM_ITM,S024,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.506,0.602,0,198,142,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S026,STM_ITM,S026,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.584,0.521,0,155,201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S028,STM_ITM,S028,NUMBER,1.0,3.0,,170,1.0,1.0,3.0,1.753,0.876,0,91,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S032,STM_ITM,S032,NUMBER,1.0,3.0,,113,1.0,1.0,3.0,1.336,0.545,0,79,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S042,STM_ITM,S042,NUMBER,1.0,3.0,,23,1.0,1.0,1.0,1.0,0.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S043,STM_ITM,S043,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.468,0.582,0,208,137,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S046,STM_ITM,S046,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.454,0.59,0,215,128,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S052,STM_ITM,S052,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.568,0.704,0,201,115,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S055,STM_ITM,S055,NUMBER,1.0,3.0,,139,1.0,1.0,2.0,1.504,0.502,0,69,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S056,STM_ITM,S056,NUMBER,1.0,3.0,,357,1.0,1.0,3.0,2.162,0.862,0,108,83,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S059,STM_ITM,S059,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.402,0.685,0,41,134,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S064,STM_ITM,S064,NUMBER,1.0,3.0,,327,1.0,1.0,3.0,2.636,0.678,0,37,45,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S066,STM_ITM,S066,NUMBER,1.0,3.0,,361,1.0,1.0,2.0,1.316,0.465,0,247,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S067,STM_ITM,S067,NUMBER,1.0,3.0,,117,1.0,1.0,3.0,1.761,0.536,0,34,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S068,STM_ITM,S068,NUMBER,1.0,3.0,,52,1.0,1.0,2.0,1.038,0.194,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S072,STM_ITM,S072,NUMBER,1.0,3.0,,341,1.0,1.0,2.0,1.839,0.368,0,55,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S073,STM_ITM,S073,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,2.281,0.736,0,61,137,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S076,STM_ITM,S076,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.486,0.583,0,201,143,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S077,STM_ITM,S077,NUMBER,1.0,3.0,,3,1.0,1.0,1.0,1.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S078,STM_ITM,S078,NUMBER,1.0,3.0,,21,1.0,3.0,3.0,3.0,0.0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S079,STM_ITM,S079,NUMBER,1.0,3.0,,38,1.0,1.0,2.0,1.684,0.471,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07_S080,STM_ITM,S080,NUMBER,1.0,3.0,,353,1.0,1.0,3.0,1.394,0.56,0,227,113,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,C01,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,C02,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,C03,ITM,,NUMBER,18.0,18.0,,3600,1.0,18.0,18.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
B,C04_S003,STM_ITM,S003,NUMBER,7.0,11.0,,20,1.0,9.0,10.0,9.8,0.41,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0
B,C04_S006,STM_ITM,S006,NUMBER,7.0,11.0,,342,1.0,7.0,11.0,8.523,0.721,0,0,0,0,0,0,0,4,186,132,9,11,0,0,0,0,0,0,0
B,C04_S008,STM_ITM,S008,NUMBER,7.0,11.0,,360,1.0,7.0,10.0,8.681,0.72,0,0,0,0,0,0,0,52,13,293,2,0,0,0,0,0,0,0,0
B,C04_S010,STM_ITM,S010,NUMBER,7.0,11.0,,360,1.0,7.0,11.0,9.544,0.895,0,0,0,0,0,0,0,7,21,158,117,57,0,0,0,0,0,0,0
B,C04_S011,STM_ITM,S011,NUMBER,7.0,11.0,,1,1.0,9.0,9.0,9.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B,C04_S012,STM_ITM,S012,NUMBER,7.0,11.0,,166,1.0,8.0,10.0,9.675,0.483,0,0,0,0,0,0,0,0,1,52,113,0,0,0,0,0,0,0,0
B,C04_S014,STM_ITM,S014,NUMBER,7.0,11.0,,360,1.0,7.0,11.0,9.842,0.848,0,0,0,0,0,0,0,8,15,69,202,66,0,0,0,0,0,0,0
B,C04_S015,STM_ITM,S015,NUMBER,7.0,11.0,,359,1.0,7.0,11.0,9.577,0.769,0,0,0,0,0,0,0,2,24,130,171,32,0,0,0,0,0,0,0
B,C04_S016,STM_ITM,S016,NUMBER,7.0,11.0,,132,1.0,8.0,11.0,9.576,0.632,0,0,0,0,0,0,0,0,6,48,74,4,0,0,0,0,0,0,0
B,C04_S019,STM_ITM,S019,NUMBER,7.0,11.0,,135,1.0,8.0,11.0,9.111,0.835,0,0,0,0,0,0,0,0,38,46,49,2,0,0,0,0,0,0,0
B,C04_S022,STM_ITM,S022,NUMBER,7.0,11.0,,1,1.0,9.0,9.0,9.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B,C04_S023,STM_ITM,S023,NUMBER,7.0,11.0,,358,1.0,7.0,9.0,8.232,0.484,0,0,0,0,0,0,0,10,255,93,0,0,0,0,0,0,0,0,0
B,C04_S029,STM_ITM,S029,NUMBER,7.0,11.0,,361,1.0,7.0,11.0,8.288,0.949,0,0,0,0,0,0,0,60,197,49,50,5,0,0,0,0,0,0,0
B,C04_S030,STM_ITM,S030,NUMBER,7.0,11.0,,361,1.0,7.0,11.0,9.407,1.076,0,0,0,0,0,0,0,43,24,49,233,12,0,0,0,0,0,0,0
B,C04_S031,STM_ITM,S031,NUMBER,7.0,11.0,,17,1.0,8.0,11.0,9.765,1.033,0,0,0,0,0,0,0,0,1,8,2,6,0,0,0,0,0,0,0
B,C04_S033,STM_ITM,S033,NUMBER,7.0,11.0,,87,1.0,8.0,9.0,8.356,0.482,0,0,0,0,0,0,0,0,56,31,0,0,0,0,0,0,0,0,0
B,C04_S035,STM_ITM,S035,NUMBER,7.0,11.0,,301,1.0,8.0,11.0,8.914,0.702,0,0,0,0,0,0,0,0,69,208,5,19,0,0,0,0,0,0,0
B,C04_S036,STM_ITM,S036,NUMBER,7.0,11.0,,115,1.0,7.0,11.0,8.087,0.844,0,0,0,0,0,0,0,32,44,37,1,1,0,0,0,0,0,0,0
B,C04_S039,STM_ITM,S039,NUMBER,7.0,11.0,,317,1.0,7.0,11.0,8.842,0.808,0,0,0,0,0,0,0,3,100,181,10,23,0,0,0,0,0,0,0
B,C04_S040,STM_ITM,S040,NUMBER,7.0,11.0,,361,1.0,7.0,11.0,8.903,0.446,0,0,0,0,0,0,0,11,20,325,3,2,0,0,0,0,0,0,0
B,C04_S047,STM_ITM,S047,NUMBER,7.0,11.0,,289,1.0,7.0,9.0,8.104,0.367,0,0,0,0,0,0,0,6,247,36,0,0,0,0,0,0,0,0,0
B,C04_S051,STM_ITM,S051,NUMBER,7.0,11.0,,244,1.0,8.0,11.0,9.291,0.781,0,0,0,0,0,0,0,0,26,144,51,23,0,0,0,0,0,0,0
