thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,108,Overall,Overall,25,6,25,-2.0,-2.47494,0.486559,876,24,
1,109,Overall,Overall,25,13,25,0.5,1.165845,0.414838,1058,21,
1,110,Overall,Overall,25,13,25,-0.5,-0.397148,0.407733,980,20,
1,111,Overall,Overall,25,13,25,0.0,-0.386027,0.409124,981,20,
1,112,Overall,Overall,25,11,25,1.0,0.231473,0.410001,1012,21,
1,113,Overall,Overall,25,7,25,-1.5,-2.137408,0.461643,893,23,
1,114,Overall,Overall,25,15,25,0.0,0.160264,0.422445,1008,21,
1,115,Overall,Overall,25,15,25,0.5,0.177149,0.420904,1009,21,
1,116,Overall,Overall,25,8,25,-1.5,-1.740295,0.441237,913,22,
1,117,Overall,Overall,25,17,25,2.0,1.536196,0.450635,1077,23,
1,118,Overall,Overall,25,17,25,1.0,1.372612,0.437289,1069,22,
1,119,Overall,Overall,25,11,25,-1.5,-1.1779,0.423078,941,21,
1,120,Overall,Overall,25,11,25,0.0,0.078536,0.409534,1004,20,
1,121,Overall,Overall,25,7,25,-1.5,-2.084977,0.460587,896,23,
1,122,Overall,Overall,25,16,25,2.0,1.492158,0.438617,1075,22,
1,123,Overall,Overall,25,18,25,2.0,1.879125,0.465728,1094,23,
1,124,Overall,Overall,25,9,25,-0.5,-0.210345,0.425354,989,21,
1,125,Overall,Overall,25,6,25,-2.0,-2.491694,0.486302,875,24,
1,126,Overall,Overall,25,15,25,1.5,0.460954,0.416059,1023,21,
1,127,Overall,Overall,25,16,25,0.5,1.318314,0.438681,1066,22,
1,128,Overall,Overall,25,12,25,-0.5,-0.346214,0.408718,983,20,
1,129,Overall,Overall,25,17,25,1.5,2.151334,0.45117,1108,23,
1,130,Overall,Overall,25,13,25,-0.5,-0.257116,0.408562,987,20,
1,131,Overall,Overall,25,17,25,1.5,1.04648,0.449075,1052,22,
1,132,Overall,Overall,25,14,25,-1.0,-0.772508,0.42198,961,21,
1,133,Overall,Overall,25,16,25,1.5,1.864967,0.444152,1093,22,
1,134,Overall,Overall,25,18,25,2.0,2.111338,0.469314,1106,23,
1,135,Overall,Overall,25,16,25,0.0,-0.017578,0.436414,999,22,
1,136,Overall,Overall,25,17,25,0.5,0.234671,0.438042,1012,22,
1,137,Overall,Overall,25,13,25,-1.0,-0.655434,0.41361,967,21,
