type,id,count,exposure_rate
item,I0357,317,0.09
item,I0358,70,0.02
item,I0359,235,0.07
item,I0360,287,0.08
item,I0361,5,0.0
item,I0362,31,0.01
item,I0363,31,0.01
item,I0364,0,0.0
item,I0365,31,0.01
item,I0366,31,0.01
item,I0367,0,0.0
item,I0368,31,0.01
item,I0369,26,0.01
item,I0370,31,0.01
item,I0371,16,0.0
item,I0372,0,0.0
item,I0373,24,0.01
item,I0374,76,0.02
item,I0375,4,0.0
item,I0376,76,0.02
item,I0377,21,0.01
item,I0378,72,0.02
item,I0379,32,0.01
item,I0380,61,0.02
item,I0381,15,0.0
item,I0382,6,0.0
item,I0383,71,0.02
item,I0384,27,0.01
item,I0385,242,0.07
item,I0386,242,0.07
item,I0387,26,0.01
item,I0388,7,0.0
item,I0389,242,0.07
item,I0390,0,0.0
item,I0391,242,0.07
item,I0392,0,0.0
item,I0393,0,0.0
item,I0394,242,0.07
item,I0395,227,0.06
item,I0396,236,0.07
item,I0397,0,0.0
item,I0398,0,0.0
item,I0399,0,0.0
item,I0400,0,0.0
item,I0401,0,0.0
item,I0402,0,0.0
item,I0403,0,0.0
item,I0404,0,0.0
item,I0405,0,0.0
item,I0406,0,0.0
item,I0407,0,0.0
item,I0408,0,0.0
item,I0409,205,0.06
item,I0410,156,0.04
item,I0411,0,0.0
item,I0412,205,0.06
item,I0413,205,0.06
item,I0414,0,0.0
item,I0415,205,0.06
item,I0416,0,0.0
item,I0417,205,0.06
item,I0418,205,0.06
item,I0419,0,0.0
item,I0420,205,0.06
item,I0421,166,0.05
item,I0422,166,0.05
item,I0423,0,0.0
item,I0424,166,0.05
item,I0425,0,0.0
item,I0426,0,0.0
item,I0427,166,0.05
item,I0428,22,0.01
item,I0429,166,0.05
item,I0430,162,0.05
item,I0431,0,0.0
item,I0432,166,0.05
item,I0433,0,0.0
item,I0434,0,0.0
item,I0435,0,0.0
item,I0436,0,0.0
item,I0437,0,0.0
item,I0438,0,0.0
item,I0439,0,0.0
