section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
A,C34,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C35,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C36,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C37,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C38,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C39,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C40,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I111,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,0.0,0.0,0.0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I216,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.026,0.159,3506,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I301,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.02,0.139,3529,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I008_I151,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.815,0.389,667,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I008_I335,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.261,0.439,2659,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I122,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,0.0,0.0,0.0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I213,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.007,0.085,3574,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I242,ITM,,ENEMY,0.0,1.0,,3600,1.0,0.0,1.0,0.028,0.165,3499,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
