section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A,C41,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.3,0.458,4550,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C44,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C45,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C46,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C47,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C48,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C49,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C50,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C51,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C52,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C53,ITM,,NUMBER,4.0,4.0,,6500,1.0,4.0,4.0,4.0,0.0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
